"peak_index","seqnames","start","end","width","strand","name","peak_detection","top_peak_col","p_value","fdr","is_batch_peak"
153565,"chr2",25223835,25225663,1829,"*","chr2:25223835-25225663",7359,5050,1,1,FALSE
108379,"chr15",102517743,102519035,1293,"*","chr15:102517743-102519035",7352,3537,1,1,FALSE
30699,"chr10",80701902,80702985,1084,"*","chr10:80701902-80702985",7312,896,1,1,FALSE
91083,"chr14",67715390,67716469,1080,"*","chr14:67715390-67716469",7304,2992,1,1,FALSE
239646,"chr6",108658745,108660971,2227,"*","chr6:108658745-108660971",7300,7860,0.0330267782910436,0.052114029230865,FALSE
248815,"chr7",44929322,44930333,1012,"*","chr7:44929322-44930333",7296,8283,1,1,FALSE
193943,"chr4",45011860,45013068,1209,"*","chr4:45011860-45013068",7261,6306,1,1,FALSE
130847,"chr17",84956733,84958312,1580,"*","chr17:84956733-84958312",7254,4310,1,1,FALSE
43357,"chr11",55469024,55469984,961,"*","chr11:55469024-55469984",7221,1358,1,1,FALSE
248792,"chr7",44848599,44850615,2017,"*","chr7:44848599-44850615",7201,8278,1,1,FALSE
16626,"chr1",165460379,165461576,1198,"*","chr1:165460379-165461576",7182,468,0.367685690592443,0.442232029050331,FALSE
198843,"chr4",95051614,95053746,2133,"*","chr4:95051614-95053746",7178,6407,1,1,FALSE
246412,"chr7",19715355,19716461,1107,"*","chr7:19715355-19716461",7161,8112,1,1,FALSE
39094,"chr11",20542563,20543550,988,"*","chr11:20542563-20543550",7147,1218,0.242325304267477,0.308576727705943,FALSE
64366,"chr12",84450560,84451772,1213,"*","chr12:84450560-84451772",7146,2207,1,1,FALSE
277535,"chr8",126734849,126737407,2559,"*","chr8:126734849-126737407",7146,9281,1,1,FALSE
182881,"chr3",95014856,95016770,1915,"*","chr3:95014856-95016770",7137,5959,1,1,FALSE
256064,"chr7",110061061,110062410,1350,"*","chr7:110061061-110062410",7136,8525,1,1,FALSE
145101,"chr19",23134022,23136407,2386,"*","chr19:23134022-23136407",7109,4796,0.254681644511854,0.321811529582833,FALSE
68757,"chr12",118301039,118302660,1622,"*","chr12:118301039-118302660",7106,2334,0.48284159203049,0.557232073895545,FALSE
162546,"chr2",98666339,98667543,1205,"*","chr2:98666339-98667543",7093,5346,0.000109589856287879,0.000277723913552658,TRUE
84375,"chr14",18238258,18239776,1519,"*","chr14:18238258-18239776",7085,2754,0.79198161632844,0.841680418600823,FALSE
208630,"chr4",151861805,151862993,1189,"*","chr4:151861805-151862993",7073,6839,1,1,FALSE
39530,"chr11",23255250,23256332,1083,"*","chr11:23255250-23256332",7053,1233,0.33830753685023,0.412117842429322,FALSE
143188,"chr19",6979660,6980915,1256,"*","chr19:6979660-6980915",7052,4709,0.736498467792227,0.794839701912612,FALSE
258991,"chr7",127745286,127746576,1291,"*","chr7:127745286-127746576",7026,8647,0.178740212797258,0.236241359763757,FALSE
245603,"chr7",4739642,4740510,869,"*","chr7:4739642-4740510",7019,8037,1,1,FALSE
52490,"chr11",106083944,106085712,1769,"*","chr11:106083944-106085712",7003,1843,1,1,FALSE
225581,"chr5",137628315,137629876,1562,"*","chr5:137628315-137629876",6976,7421,0.68721125089203,0.750886419243914,FALSE
270765,"chr8",84066379,84067683,1305,"*","chr8:84066379-84067683",6957,9031,1,1,FALSE
199914,"chr4",101647002,101648366,1365,"*","chr4:101647002-101648366",6947,6442,1,1,FALSE
262334,"chr8",4165860,4166829,970,"*","chr8:4165860-4166829",6945,8760,0.693372524690062,0.756378885884218,FALSE
236953,"chr6",88841744,88842859,1116,"*","chr6:88841744-88842859",6929,7797,1,1,FALSE
143198,"chr19",7039675,7040747,1073,"*","chr19:7039675-7040747",6906,4712,1,1,FALSE
118590,"chr16",91728349,91729737,1389,"*","chr16:91728349-91729737",6904,3838,1,1,FALSE
246278,"chr7",19227617,19229160,1544,"*","chr7:19227617-19229160",6884,8098,1,1,FALSE
225037,"chr5",135008703,135010396,1694,"*","chr5:135008703-135010396",6874,7382,0.895080505587878,0.930533845085641,FALSE
59744,"chr12",40222434,40223771,1338,"*","chr12:40222434-40223771",6868,2089,1,1,FALSE
53280,"chr11",109610994,109612371,1378,"*","chr11:109610994-109612371",6836,1872,0.0490961462465185,0.0746709448616251,FALSE
143062,"chr19",6363410,6364256,847,"*","chr19:6363410-6364256",6823,4699,0.332912871705925,0.40633818101541,FALSE
21778,"chr10",5823752,5824871,1120,"*","chr10:5823752-5824871",6811,600,0.382750600843491,0.457945203210685,FALSE
142940,"chr19",5845309,5847672,2364,"*","chr19:5845309-5847672",6805,4676,0.965561721501099,0.989913595961758,FALSE
281600,"chr9",40799869,40801685,1817,"*","chr9:40799869-40801685",6787,9395,0.0095033094971565,0.0167577314356489,TRUE
286472,"chr9",66795157,66796325,1169,"*","chr9:66795157-66796325",6785,9582,0.699531547475641,0.761900369305219,FALSE
240054,"chr6",113306401,113307229,829,"*","chr6:113306401-113307229",6760,7867,1,1,FALSE
249004,"chr7",45704158,45705526,1369,"*","chr7:45704158-45705526",6748,8311,0.289243769472829,0.3598902195755,FALSE
279434,"chr9",21545826,21547448,1623,"*","chr9:21545826-21547448",6744,9339,1,1,FALSE
30847,"chr10",81320231,81321473,1243,"*","chr10:81320231-81321473",6742,917,0.394110096528604,0.469346310025728,FALSE
95436,"chr14",120477495,120478719,1225,"*","chr14:120477495-120478719",6722,3078,0.255846572806035,0.322997819474857,FALSE
75678,"chr13",54693735,54694906,1172,"*","chr13:54693735-54694906",6716,2516,0.00627090338133948,0.0115422480790346,TRUE
31739,"chr10",86705240,86706657,1418,"*","chr10:86705240-86706657",6709,966,0.723206088237915,0.783199142557846,FALSE
147840,"chr19",41980675,41982011,1337,"*","chr19:41980675-41982011",6708,4879,0.246142165828192,0.312680596834594,FALSE
268963,"chr8",69996082,69997061,980,"*","chr8:69996082-69997061",6688,8930,1,1,FALSE
269300,"chr8",71569489,71570972,1484,"*","chr8:71569489-71570972",6680,8977,0.000225971002124586,0.000539954604837721,TRUE
89077,"chr14",55559874,55561224,1351,"*","chr14:55559874-55561224",6679,2926,0.365873370036139,0.440386819976095,FALSE
144119,"chr19",14597843,14599082,1240,"*","chr19:14597843-14599082",6678,4778,0.537236346878698,0.609664488060256,FALSE
16456,"chr1",164457838,164459335,1498,"*","chr1:164457838-164459335",6635,460,5.31385763148757e-08,2.21595397476546e-07,TRUE
225066,"chr5",135148902,135149989,1088,"*","chr5:135148902-135149989",6634,7387,1,1,FALSE
74580,"chr13",48545592,48547059,1468,"*","chr13:48545592-48547059",6629,2479,0.00292097642962732,0.00576356832996709,TRUE
30556,"chr10",80147961,80149902,1942,"*","chr10:80147961-80149902",6609,869,0.144138777507949,0.195098507725973,FALSE
187822,"chr3",135437902,135439728,1827,"*","chr3:135437902-135439728",6599,6152,0.109101442356644,0.15229123723708,FALSE
212503,"chr5",34187231,34188447,1217,"*","chr5:34187231-34188447",6595,6996,0.576879172863174,0.648033220470877,FALSE
153821,"chr2",26445097,26446453,1357,"*","chr2:26445097-26446453",6588,5072,0.281299691911703,0.351317212328841,FALSE
158816,"chr2",65237428,65239664,2237,"*","chr2:65237428-65239664",6584,5254,1,1,FALSE
55648,"chr11",120572704,120573720,1017,"*","chr11:120572704-120573720",6582,1977,0.190299995452274,0.249475610189137,FALSE
103734,"chr15",77841804,77843021,1218,"*","chr15:77841804-77843021",6571,3307,0.203257681972688,0.264211207555814,FALSE
245717,"chr7",6362357,6363603,1247,"*","chr7:6362357-6363603",6568,8051,0.885622120701589,0.923003773529535,FALSE
269391,"chr8",72160752,72161651,900,"*","chr8:72160752-72161651",6553,8984,1,1,FALSE
245493,"chr7",3644541,3645749,1209,"*","chr7:3644541-3645749",6551,8027,1,1,FALSE
192907,"chr4",33247565,33249061,1497,"*","chr4:33247565-33249061",6550,6247,0.205380995272376,0.26669870596833,FALSE
45897,"chr11",70668547,70669908,1362,"*","chr11:70668547-70669908",6547,1490,0.987510991628553,1,FALSE
55814,"chr11",121236640,121237727,1088,"*","chr11:121236640-121237727",6539,1995,1,1,FALSE
49016,"chr11",87591778,87592761,984,"*","chr11:87591778-87592761",6529,1647,0.814518435369927,0.862106726682819,FALSE
245497,"chr7",3692837,3694602,1766,"*","chr7:3692837-3694602",6516,8029,0.62389024494913,0.692903426198501,FALSE
284313,"chr9",57075883,57076641,759,"*","chr9:57075883-57076641",6515,9498,0.533303750388996,0.606440471217871,FALSE
58902,"chr12",31949335,31951119,1785,"*","chr12:31949335-31951119",6498,2073,0.345196951308216,0.419386406643441,FALSE
127764,"chr17",64331545,64332664,1120,"*","chr17:64331545-64332664",6495,4236,0.626324776117852,0.694989764888873,FALSE
133760,"chr18",21299716,21300942,1227,"*","chr18:21299716-21300942",6492,4376,0.514225151492172,0.588156537321542,FALSE
258895,"chr7",127208464,127209578,1115,"*","chr7:127208464-127209578",6490,8630,1,1,FALSE
222729,"chr5",120612461,120613745,1285,"*","chr5:120612461-120613745",6489,7277,1,1,FALSE
160484,"chr2",75703505,75705560,2056,"*","chr2:75703505-75705560",6487,5287,0.34873442188986,0.422759633761498,FALSE
134496,"chr18",31634026,31635411,1386,"*","chr18:31634026-31635411",6467,4390,0.619099680529019,0.688730315417754,FALSE
276437,"chr8",122281163,122282361,1199,"*","chr8:122281163-122282361",6455,9237,0.0034476434719319,0.00669835529809967,TRUE
126359,"chr17",48409091,48410508,1418,"*","chr17:48409091-48410508",6454,4194,0.11240114178059,0.156373319116013,FALSE
88661,"chr14",52103851,52104757,907,"*","chr14:52103851-52104757",6445,2898,1,1,FALSE
272602,"chr8",95080460,95081563,1104,"*","chr8:95080460-95081563",6441,9109,1,1,FALSE
51464,"chr11",100939180,100940139,960,"*","chr11:100939180-100940139",6432,1772,0.0444881522884164,0.0682019811258875,FALSE
62151,"chr12",72084410,72086460,2051,"*","chr12:72084410-72086460",6430,2143,1,1,FALSE
248822,"chr7",44986411,44987202,792,"*","chr7:44986411-44987202",6409,8285,0.659932151465047,0.725678635875354,FALSE
211065,"chr5",23432635,23434776,2142,"*","chr5:23432635-23434776",6372,6924,0.0881988209806097,0.126323146635075,FALSE
234888,"chr6",71440167,71441609,1443,"*","chr6:71440167-71441609",6372,7707,1,1,FALSE
30622,"chr10",80398849,80400144,1296,"*","chr10:80398849-80400144",6363,883,0.108759126776125,0.151919439553185,FALSE
269088,"chr8",70538308,70539935,1628,"*","chr8:70538308-70539935",6353,8946,0.309287291456026,0.381412370768314,FALSE
50362,"chr11",96075381,96076384,1004,"*","chr11:96075381-96076384",6330,1697,1,1,FALSE
143497,"chr19",8819064,8820511,1448,"*","chr19:8819064-8820511",6314,4738,1,1,FALSE
50606,"chr11",96977225,96978385,1161,"*","chr11:96977225-96978385",6287,1715,1,1,FALSE
271879,"chr8",91133565,91134683,1119,"*","chr8:91133565-91134683",6286,9079,1,1,FALSE
107590,"chr15",99392219,99394331,2113,"*","chr15:99392219-99394331",6266,3490,1,1,FALSE
269194,"chr8",70839295,70840317,1023,"*","chr8:70839295-70840317",6260,8962,0.23507550573051,0.300339217746915,FALSE
30795,"chr10",81136464,81138232,1769,"*","chr10:81136464-81138232",6258,909,0.00886412856171017,0.0157304854688734,TRUE
246786,"chr7",25754351,25755965,1615,"*","chr7:25754351-25755965",6258,8148,1,1,FALSE
248684,"chr7",44304727,44305870,1144,"*","chr7:44304727-44305870",6257,8266,1,1,FALSE
44221,"chr11",61174435,61175769,1335,"*","chr11:61174435-61175769",6252,1398,1,1,FALSE
199423,"chr4",98922891,98924226,1336,"*","chr4:98922891-98924226",6244,6426,1,1,FALSE
241868,"chr6",124930393,124932350,1958,"*","chr6:124930393-124932350",6244,7936,0.113564970518252,0.157772951539667,FALSE
67286,"chr12",108178975,108180100,1126,"*","chr12:108178975-108180100",6231,2287,0.00624898509769828,0.0115082598484315,TRUE
27179,"chr10",58322933,58324032,1100,"*","chr10:58322933-58324032",6228,727,0.139642476266622,0.189808993158383,FALSE
212432,"chr5",33657573,33658853,1281,"*","chr5:33657573-33658853",6226,6989,0.214980159237575,0.277501173664096,FALSE
48937,"chr11",87108773,87109787,1015,"*","chr11:87108773-87109787",6222,1640,0.44066273599852,0.516603441967784,FALSE
277483,"chr8",126593976,126595867,1892,"*","chr8:126593976-126595867",6215,9278,0.0313202996020216,0.0496910988450288,TRUE
140300,"chr18",73572026,73573117,1092,"*","chr18:73572026-73573117",6208,4557,0.273521029122108,0.342715235085964,FALSE
246603,"chr7",24884020,24884943,924,"*","chr7:24884020-24884943",6207,8126,0.75116917743733,0.807621951873272,FALSE
291196,"chr9",104001987,104003415,1429,"*","chr9:104001987-104003415",6202,9703,1,1,FALSE
261316,"chr7",141215314,141216905,1592,"*","chr7:141215314-141216905",6201,8712,0.218048568309161,0.280881834740643,FALSE
247541,"chr7",30588844,30590310,1467,"*","chr7:30588844-30590310",6197,8217,1,1,FALSE
39307,"chr11",21571723,21572576,854,"*","chr11:21571723-21572576",6194,1223,0.0644310548861558,0.0954534146461567,FALSE
279372,"chr9",21290988,21291907,920,"*","chr9:21290988-21291907",6182,9334,1,1,FALSE
50655,"chr11",97187890,97188877,988,"*","chr11:97187890-97188877",6170,1718,0.287118452036539,0.357512703320307,FALSE
20604,"chr1",191396669,191398028,1360,"*","chr1:191396669-191398028",6166,574,0.00640086068789162,0.0117511670422097,TRUE
221698,"chr5",115158011,115159175,1165,"*","chr5:115158011-115159175",6165,7242,0.0353526662224761,0.055481271535587,FALSE
127286,"chr17",57247432,57248799,1368,"*","chr17:57247432-57248799",6159,4231,0.00574376156875734,0.0106425080021444,TRUE
155801,"chr2",34904859,34905703,845,"*","chr2:34904859-34905703",6155,5187,0.78343158128269,0.83468099433485,FALSE
14210,"chr1",150392680,150393905,1226,"*","chr1:150392680-150393905",6150,393,0.396362472330622,0.471467196777235,FALSE
47254,"chr11",77981781,77983030,1250,"*","chr11:77981781-77983030",6140,1561,0.145938129539985,0.197347031156167,FALSE
107912,"chr15",100614933,100616367,1435,"*","chr15:100614933-100616367",6134,3510,3.09727281393775e-07,1.1574263131307e-06,TRUE
51613,"chr11",101551938,101553180,1243,"*","chr11:101551938-101553180",6102,1789,1,1,FALSE
45535,"chr11",69094840,69095529,690,"*","chr11:69094840-69095529",6099,1439,0.0826411310789375,0.119268481857321,FALSE
2639,"chr1",37864590,37865657,1068,"*","chr1:37864590-37865657",6084,65,0.533642267297937,0.606648105971109,FALSE
167516,"chr2",136890968,136892481,1514,"*","chr2:136890968-136892481",6077,5506,1,1,FALSE
30454,"chr10",79853031,79854905,1875,"*","chr10:79853031-79854905",6073,853,0.325741545404345,0.39885091882496,FALSE
255668,"chr7",105399728,105400806,1079,"*","chr7:105399728-105400806",6071,8512,1,1,FALSE
274651,"chr8",113634999,113636066,1068,"*","chr8:113634999-113636066",6066,9191,0.0159309165835385,0.0268525431018346,TRUE
149691,"chr19",53943995,53945248,1254,"*","chr19:53943995-53945248",6057,4955,0.683001601500842,0.747111782277168,FALSE
191963,"chr4",16163219,16164432,1214,"*","chr4:16163219-16164432",6053,6228,0.000315486759018195,0.00073454425848241,TRUE
124906,"chr17",35916255,35917236,982,"*","chr17:35916255-35917236",6050,4128,0.000145482339558118,0.000360729827815813,TRUE
263162,"chr8",11557951,11558685,735,"*","chr8:11557951-11558685",6048,8784,0.0100494834964482,0.0176523511267313,TRUE
71513,"chr13",29985873,29987065,1193,"*","chr13:29985873-29987065",6041,2402,0.371091980442227,0.445533388136816,FALSE
122397,"chr17",24886385,24887134,750,"*","chr17:24886385-24887134",6038,3969,1,1,FALSE
109361,"chr16",8829151,8830436,1286,"*","chr16:8829151-8830436",6036,3592,0.000190986849959466,0.000463447828098679,TRUE
162421,"chr2",94157666,94158612,947,"*","chr2:94157666-94158612",6035,5343,0.317104869305678,0.389563721505747,FALSE
88894,"chr14",54686170,54687310,1141,"*","chr14:54686170-54687310",6027,2914,0.211785449963857,0.27380148670182,FALSE
66132,"chr12",100724769,100725800,1032,"*","chr12:100724769-100725800",6025,2254,1,1,FALSE
122057,"chr17",20944985,20946092,1108,"*","chr17:20944985-20946092",6022,3930,1,1,FALSE
223581,"chr5",124327536,124328485,950,"*","chr5:124327536-124328485",6014,7331,0.0221936502655123,0.0363472817974325,TRUE
45678,"chr11",69758105,69759800,1696,"*","chr11:69758105-69759800",6012,1462,0.000375230517725366,0.000859634633964183,TRUE
148835,"chr19",46760960,46762089,1130,"*","chr19:46760960-46762089",6002,4935,0.0954834101010443,0.135437461136233,FALSE
89084,"chr14",55590812,55592095,1284,"*","chr14:55590812-55592095",5992,2927,1,1,FALSE
154856,"chr2",30981806,30982658,853,"*","chr2:30981806-30982658",5988,5135,1,1,FALSE
151035,"chr19",61266506,61267396,891,"*","chr19:61266506-61267396",5975,4986,0.000134434730505523,0.000335667242211043,TRUE
36963,"chr10",128695888,128696894,1007,"*","chr10:128695888-128696894",5968,1121,1,1,FALSE
129258,"chr17",74527887,74529079,1193,"*","chr17:74527887-74529079",5963,4276,0.0663582007038653,0.0979746060886835,FALSE
270742,"chr8",83955041,83955951,911,"*","chr8:83955041-83955951",5963,9025,0.493849430316338,0.56829623741811,FALSE
268908,"chr8",69716519,69717498,980,"*","chr8:69716519-69717498",5962,8923,0.485390306616179,0.559850411322006,FALSE
225158,"chr5",135688663,135689519,857,"*","chr5:135688663-135689519",5961,7394,0.00693808768077791,0.0126192937082174,TRUE
47297,"chr11",78177509,78179504,1996,"*","chr11:78177509-78179504",5950,1567,0.187370568100769,0.246086903205634,FALSE
193275,"chr4",40142798,40143960,1163,"*","chr4:40142798-40143960",5950,6256,1,1,FALSE
246122,"chr7",16923875,16924907,1033,"*","chr7:16923875-16924907",5948,8084,1,1,FALSE
279229,"chr9",20651586,20652409,824,"*","chr9:20651586-20652409",5944,9322,0.162610732613297,0.217306872395158,FALSE
280481,"chr9",31279831,31281527,1697,"*","chr9:31279831-31281527",5933,9373,1,1,FALSE
45963,"chr11",71019105,71020128,1024,"*","chr11:71019105-71020128",5932,1495,0.165686567381346,0.220944882492794,FALSE
254036,"chr7",92669767,92670692,926,"*","chr7:92669767-92670692",5919,8458,0.367371943072022,0.44197779484122,FALSE
67964,"chr12",111537618,111539115,1498,"*","chr12:111537618-111539115",5916,2311,0.00529840235234549,0.00990725944716808,TRUE
11874,"chr1",128102508,128103966,1459,"*","chr1:128102508-128103966",5907,324,0.0449992391803398,0.0689115454522814,FALSE
240026,"chr6",113076095,113077774,1680,"*","chr6:113076095-113077774",5907,7865,1,1,FALSE
30672,"chr10",80622048,80622969,922,"*","chr10:80622048-80622969",5905,889,1.52643094698445e-08,6.81138307445094e-08,TRUE
247065,"chr7",28372260,28373638,1379,"*","chr7:28372260-28373638",5902,8175,0.124698022379456,0.171618527910069,FALSE
124438,"chr17",33759899,33760946,1048,"*","chr17:33759899-33760946",5900,4074,0.846555366521149,0.890173886983332,FALSE
182998,"chr3",95624751,95625681,931,"*","chr3:95624751-95625681",5898,5973,0.323368137104896,0.396404552181099,FALSE
104191,"chr15",79690319,79691156,838,"*","chr15:79690319-79691156",5897,3335,0.513895887895093,0.5880488475742,FALSE
122390,"chr17",24849825,24850934,1110,"*","chr17:24849825-24850934",5894,3966,0.250516334031187,0.317305086557815,FALSE
69902,"chr13",14063111,14064328,1218,"*","chr13:14063111-14064328",5890,2362,1,1,FALSE
105524,"chr15",85634490,85635357,868,"*","chr15:85634490-85635357",5890,3401,0.0020780267225566,0.00420908795332509,TRUE
161453,"chr2",84714761,84716529,1769,"*","chr2:84714761-84716529",5890,5304,0.395401492503812,0.470492018686117,FALSE
232327,"chr6",47813174,47814041,868,"*","chr6:47813174-47814041",5887,7630,1,1,FALSE
9824,"chr1",93478034,93479472,1439,"*","chr1:93478034-93479472",5883,277,0.00152314395654388,0.00315612092114355,TRUE
275972,"chr8",120588813,120589788,976,"*","chr8:120588813-120589788",5882,9228,0.0857748675261306,0.123257461598118,FALSE
247081,"chr7",28436335,28437676,1342,"*","chr7:28436335-28437676",5881,8180,0.129240062760639,0.177235412452879,FALSE
6791,"chr1",74284334,74285340,1007,"*","chr1:74284334-74285340",5880,182,1,1,FALSE
292356,"chr9",111271278,111272305,1028,"*","chr9:111271278-111272305",5880,9798,1,1,FALSE
281210,"chr9",36767505,36768293,789,"*","chr9:36767505-36768293",5875,9383,0.0772038550314161,0.112267852087767,FALSE
46463,"chr11",74830025,74831212,1188,"*","chr11:74830025-74831212",5870,1520,0.0695377122099954,0.102186204570162,FALSE
148134,"chr19",43674752,43675858,1107,"*","chr19:43674752-43675858",5866,4891,1,1,FALSE
53151,"chr11",109011745,109012277,533,"*","chr11:109011745-109012277",5863,1868,0.0310976625396037,0.0493848857227311,TRUE
182280,"chr3",89393485,89395371,1887,"*","chr3:89393485-89395371",5856,5923,0.537655011815502,0.610001147964037,FALSE
50102,"chr11",95040036,95041863,1828,"*","chr11:95040036-95041863",5855,1686,0.387454385975206,0.462521649725684,FALSE
246670,"chr7",25237797,25238938,1142,"*","chr7:25237797-25238938",5854,8132,0.00908819471968849,0.0160881478486254,TRUE
256306,"chr7",111082159,111083673,1515,"*","chr7:111082159-111083673",5848,8538,0.0584750405111325,0.0874458509213884,FALSE
229527,"chr6",21949346,21950356,1011,"*","chr6:21949346-21950356",5847,7549,1,1,FALSE
96157,"chr15",3995479,3996505,1027,"*","chr15:3995479-3996505",5845,3101,0.0497425343322381,0.0755621059277504,FALSE
246044,"chr7",16614720,16615823,1104,"*","chr7:16614720-16615823",5843,8081,3.95149645728582e-05,0.000107817092968235,TRUE
256077,"chr7",110121433,110123403,1971,"*","chr7:110121433-110123403",5842,8527,1,1,FALSE
241681,"chr6",122810718,122811831,1114,"*","chr6:122810718-122811831",5841,7920,0.0637334044744863,0.0945599472915227,FALSE
247168,"chr7",28810320,28811707,1388,"*","chr7:28810320-28811707",5832,8188,0.053517681602893,0.0807570267132835,FALSE
272439,"chr8",94385989,94387931,1943,"*","chr8:94385989-94387931",5832,9096,1,1,FALSE
261337,"chr7",141327433,141328521,1089,"*","chr7:141327433-141328521",5830,8715,0.00742592378677365,0.0134090353679553,TRUE
81602,"chr13",107890097,107891747,1651,"*","chr13:107890097-107891747",5826,2684,0.016870368010464,0.0283107367183487,TRUE
61901,"chr12",71015176,71016337,1162,"*","chr12:71015176-71016337",5823,2141,0.782154367766185,0.833586664996467,FALSE
180506,"chr3",75556621,75557811,1191,"*","chr3:75556621-75557811",5821,5866,0.0446267194189795,0.0684039230824334,FALSE
142652,"chr19",4509994,4510896,903,"*","chr19:4509994-4510896",5818,4638,0.218189188639222,0.281026775681636,FALSE
108554,"chr15",103239432,103240719,1288,"*","chr15:103239432-103240719",5814,3544,0.455618512846272,0.531147718403208,FALSE
225833,"chr5",139149507,139150520,1014,"*","chr5:139149507-139150520",5813,7440,0.0237284100666427,0.0386016106501427,TRUE
44079,"chr11",60352652,60353588,937,"*","chr11:60352652-60353588",5805,1386,1,1,FALSE
104037,"chr15",79062675,79063761,1087,"*","chr15:79062675-79063761",5790,3326,0.892393477699678,0.928416019246439,FALSE
245987,"chr7",16399610,16400590,981,"*","chr7:16399610-16400590",5788,8079,0.00930716167162379,0.0164416006186128,TRUE
234777,"chr6",70843914,70844837,924,"*","chr6:70843914-70844837",5785,7702,0.130613185939953,0.178995732410516,FALSE
183835,"chr3",100921896,100922779,884,"*","chr3:100921896-100922779",5784,6025,0.00656555051625634,0.0120006406804174,TRUE
205315,"chr4",135272190,135273811,1622,"*","chr4:135272190-135273811",5783,6687,3.69429669962838e-08,1.57539304888204e-07,TRUE
253287,"chr7",83891629,83892573,945,"*","chr7:83891629-83892573",5782,8428,0.0334849288315909,0.05279868942225,FALSE
8630,"chr1",88277045,88278044,1000,"*","chr1:88277045-88278044",5779,249,1.40147023269725e-06,4.78154292970742e-06,TRUE
46627,"chr11",75461228,75461903,676,"*","chr11:75461228-75461903",5779,1533,0.00652897039516304,0.0119403262530414,TRUE
88945,"chr14",54893679,54894454,776,"*","chr14:54893679-54894454",5773,2919,1,1,FALSE
43040,"chr11",53891427,53892384,958,"*","chr11:53891427-53892384",5772,1337,1.14435680381873e-09,5.84153549677757e-09,TRUE
45719,"chr11",69920951,69922140,1190,"*","chr11:69920951-69922140",5772,1471,1.26960832722784e-06,4.35244541387673e-06,TRUE
15293,"chr1",156035609,156036951,1343,"*","chr1:156035609-156036951",5771,429,1,1,FALSE
262390,"chr8",4677423,4678984,1562,"*","chr8:4677423-4678984",5758,8766,0.158199593198118,0.211921759140144,FALSE
267889,"chr8",57511223,57512267,1045,"*","chr8:57511223-57512267",5758,8899,0.196790243875236,0.256805746933623,FALSE
236442,"chr6",86669057,86669870,814,"*","chr6:86669057-86669870",5757,7779,0.0150382832828408,0.0255102345764899,TRUE
64237,"chr12",83921584,83922481,898,"*","chr12:83921584-83922481",5749,2196,0.304795742509305,0.377222453600625,FALSE
